8:00-8:30,7:45-8:30,7:45-9:00,7:45-8:30,8:00-8:30,,"""8:00-8:30""","""7:45-8:30""","""7:45-9:00""","""7:45-8:30""","""8:00-8:30"""
9:40-9:55,9:40-9:55,10:10-10:25,9:40-10:25,9:40-9:55,,"""9:40-9:55""","""9:40-9:55""","""10:10-10:25""","""9:40-10:25""","""9:40-9:55"""
1:10-1:50,1:10-1:50,1:40-1:50,1:40-1:50,1:10-1:20,,"""1:10-1:50""","""1:10-1:50""","""1:40-1:50""","""1:40-1:50""","""1:10-1:20"""
3:00-3:30,3:00-3:30,3:00-3:30,3:00-3:30,0:00,,"""3:00-3:30""","""3:00-3:30""","""3:00-3:30""","""3:00-3:30""","""0"""
8:30-9:40,8:30-9:40,9:00-10:10,8:30-9:40,8:30-9:40,,"""8:30-9:40""","""8:30-9:40""","""9:00-10:10""","""8:30-9:40""","""8:30-9:40"""
9:55-11:05,9:55-11:05,10:25-11:35,10:25-11:35,9:55-11:05,,"""9:55-11:05""","""9:55-11:05""","""10:25-11:35""","""10:25-11:35""","""9:55-11:05"""
11:05-1:10,11:05-1:10,11:35-1:40,11:35-1:40,11:05-1:10,,"""11:05-1:10""","""11:05-1:10""","""11:35-1:40""","""11:35-1:40""","""11:05-1:10"""
1:50-3:00,1:50-3:00,1:50-3:00,1:50-3:00,1:20-2:30,,"""1:50-3:00""","""1:50-3:00""","""1:50-3:00""","""1:50-3:00""","""1:20-2:30"""
